player_id,name,club,position,price,status,xmins,xpts_gw1,xpts_gw2,xpts_gw3,xpts_gw4,xpts_gw5,xpts_gw6,xpts_gw7,xpts_gw8
2053,Sebastian Madejski,Cracovia,GK,1.8,ok,87.5,1.69,2.7,2.91,2.31,3.1,2.66,2.52,2.85
2057,Józef Kolasa,Radomiak Radom,MID,0.7,ok,22.8,1.13,0.99,0.96,0.89,1.05,1.02,0.91,1.05
2058,Filip Kocaba,Zagłębie Lubin,MID,1.7,ok,48.0,1.81,1.57,1.55,1.95,1.77,1.8,1.83,1.82
2059,Jakub Kolan,Zagłębie Lubin,MID,1.7,ok,39.2,1.53,1.32,1.31,1.66,1.5,1.52,1.55,1.55
2063,Piotr Liszewski,Piast Gliwice,DEF,1.2,ok,28.4,1.13,1.33,0.79,1.38,1.08,1.16,1.23,1.19
2066,David González Plata,Korona Kielce,MID,1.7,ok,22.8,0.93,0.99,0.97,0.93,1.13,1.08,1.14,1.11
2069,Szczepan Mucha,Piast Gliwice,MID,1.0,ok,7.3,0.38,0.44,0.32,0.45,0.38,0.41,0.42,0.4
2073,Linus Wahlqvist,Pogoń Szczecin,DEF,1.8,ok,87.5,2.96,3.06,3.46,2.51,3.64,3.12,3.76,3.82
2090,Chrístos Dónis,Radomiak Radom,MID,1.6,ok,19.0,0.87,0.76,0.75,0.7,0.81,0.8,0.71,0.81
2096,Kacper Śmiglewski,Cracovia,FWD,1.5,ok,20.6,0.92,1.19,1.24,1.05,1.28,1.17,1.07,1.19
2098,Olivier Sukiennicki,Wisła Kraków,MID,1.5,ok,22.8,1.06,0.97,1.11,0.9,0.98,1.12,0.96,0.95
2100,Dušan Stojinović,Jagiellonia Białystok,DEF,1.7,ok,46.6,2.01,1.91,1.9,2.0,1.33,1.55,2.29,2.02
2104,Michal Sáček,Górnik Zabrze,DEF,1.8,ok,36.8,1.83,1.5,1.59,1.74,1.27,1.64,1.51,1.21
2114,Jakub Burek,Wisła Płock,GK,1.0,ok,48.0,0.94,1.3,1.31,0.9,1.19,1.36,1.17,1.39
2123,Michał Gurgul,Lech Poznań,DEF,2.3,ok,87.5,4.07,4.19,4.07,4.19,3.58,3.59,3.52,3.47
2125,Gleb Kuczko,Wisła Płock,MID,0.9,ok,22.8,0.87,0.95,1.03,0.86,0.99,1.01,0.97,1.01
2126,Wiktor Bogacz,Cracovia,FWD,1.6,ok,11.8,0.57,0.74,0.76,0.65,0.8,0.72,0.66,0.74
2134,Bartosz Tomaszewski,Lech Poznań,DEF,0.7,ok,28.4,1.46,1.5,1.47,1.5,1.3,1.29,1.27,1.25
2160,Roman Jakuba,Zagłębie Lubin,DEF,1.7,ok,28.4,1.24,0.98,0.92,1.41,1.2,1.22,1.29,1.24
2163,Marcel Pięczek,Korona Kielce,DEF,1.8,ok,87.5,2.71,3.18,3.15,3.02,3.67,3.66,3.84,3.78
2176,Mateusz Kowalczyk,GKS Katowice,MID,1.9,ok,46.1,1.86,1.95,2.0,1.84,1.98,1.63,1.77,1.77
2189,Adrián Diéguez,Radomiak Radom,DEF,1.8,ok,87.5,3.34,2.6,2.57,2.28,2.97,2.94,2.45,2.9
2198,Jan Krzywański,Widzew Łódź,GK,0.8,ok,34.5,1.26,1.27,1.0,1.27,1.31,0.95,1.31,1.07
2206,Adrián Dalmau,Piast Gliwice,FWD,1.7,ok,21.7,1.15,1.32,0.96,1.33,1.09,1.25,1.26,1.22
2208,Martin Remacle,Korona Kielce,MID,1.8,ok,27.0,1.14,1.21,1.19,1.14,1.39,1.32,1.4,1.36
2225,Fran Álvarez,Widzew Łódź,MID,2.0,ok,87.5,4.39,4.12,3.58,4.05,4.3,3.44,4.32,3.52
2226,Kamil Cybulski,Widzew Łódź,MID,1.7,ok,9.9,0.57,0.54,0.47,0.53,0.56,0.45,0.57,0.46
2228,Filip Przybułek,Widzew Łódź,MID,0.7,ok,22.8,1.16,1.09,0.96,1.09,1.14,0.93,1.15,0.94
2234,Ali Gholizadeh,Lech Poznań,MID,3.0,ok,35.9,2.32,2.46,2.43,2.45,2.2,2.03,2.12,2.05
