player_id,fpl_id,web_name,player_name,pos,price,team_name,appearances,minutes_played,goals,xg,assists,xa,xGI,xGI_per_90,key_passes,shots_total,shots_on_target
818036,1812.0,Lokilo,Jason Lokilo,MID,1.7,Piast Gliwice,21,1020,0,1.12,3,3.83,4.95,0.44,33,21,6
559968,395.0,Kubicki,Jarosław Kubicki,MID,1.9,Gornik Zabrze,29,2190,3,6.23,4,2.96,9.19,0.38,30,32,12
796980,,Radwanski,Adam Radwański,MID,,Zaglebie Lubin,31,1628,4,2.27,6,2.54,4.81,0.27,39,26,11
992198,2679.0,Mukairu,Paul Mukairu,MID,2.1,Pogon Szczecin,34,2073,8,6.23,0,1.78,8.01,0.35,26,44,17
979043,,Charpentier,Gabriel Charpentier,MID,,Cracovia,7,169,2,0.72,1,0.7,1.42,0.76,3,6,4
833847,705.0,Rasak,Damian Rasak,MID,1.7,GKS Katowice,14,660,0,0.35,0,0.56,0.91,0.12,6,11,2
851088,,Rusyn,Nazariy Rusyn,MID,,Arka Gdynia,23,1184,4,3.67,0,0.61,4.28,0.33,3,28,11
33689,1794.0,Grosicki,Kamil Grosicki,MID,2.5,Pogon Szczecin,31,2184,6,8.03,5,7.65,15.68,0.65,66,69,24
790864,2826.0,Szabo,Levente Szabó,FWD,1.8,Zaglebie Lubin,16,854,3,3.31,1,0.28,3.59,0.38,9,22,6
1146079,2472.0,Smolarczyk,Bartłomiej Smolarczyk,DEF,1.7,Korona Kielce,19,1574,1,0.57,0,0.43,1.0,0.06,4,8,2
111129,128.0,Sekulski,Łukasz Sekulski,FWD,2.1,Wisla Plock,27,1981,8,9.07,1,1.19,10.26,0.47,23,44,21
759284,,Lecoeuche,Quentin Lecoeuche,MID,,Wisla Plock,28,1847,0,0.42,0,2.92,3.34,0.16,25,5,3
943711,,Huja,Marian Huja,MID,,Pogon Szczecin,15,1201,2,1.31,1,0.29,1.6,0.12,2,9,3
851161,,Therkildsen,Peter Therkildsen,MID,,Widzew Lodz,8,431,1,0.36,2,1.71,2.07,0.43,10,2,1
989139,1194.0,Paluszek,Aleksander Paluszek,DEF,1.6,GKS Katowice,1,90,0,0.0,0,0.01,0.01,0.01,0,0,0
1640971,,Borowski,Bartosz Borowski,MID,,Wisla Plock,1,19,0,0.0,0,0.0,0.0,0.0,0,0,0
2439667,2831.0,Maziarz,Oliwier Maziarz,MID,0.7,Piast Gliwice,1,10,0,0.0,0,0.02,0.02,0.18,0,0,0
1423455,,Rejczyk,Filip Rejczyk,MID,,GKS Katowice,2,10,0,0.0,0,0.0,0.0,0.0,0,0,0
909930,1948.0,Ravas,Henrich Ravas,GKP,1.7,Cracovia,4,360,0,0.0,0,0.0,0.0,0.0,0,0,0
2038078,,Ojo,Abraham Emmanuel Ojo,MID,,Rakow,2,21,0,0.07,0,0.0,0.07,0.3,0,1,0
73980,2637.0,Kaminski,Marcin Kamiński,DEF,1.9,Wisla Plock,34,3004,3,1.94,0,0.61,2.55,0.08,8,22,8
585266,,Gojny,Dawid Gojny,MID,,Arka Gdynia,22,1671,1,0.97,1,1.58,2.55,0.14,11,7,2
976145,2703.0,Camara,Ibrahima Camará,MID,1.7,Radomiak,23,1263,0,0.38,1,1.27,1.65,0.12,10,12,1
855970,2779.0,Juric,Deni Jurić,FWD,1.8,Wisla Plock,19,1161,5,4.75,0,0.61,5.36,0.42,7,35,10
979225,,Ndiaye,Mor Ndiaye,MID,,Pogon Szczecin,17,906,1,1.05,0,0.43,1.48,0.15,4,15,3
554518,2053.0,Madejski,Sebastian Madejski,GKP,1.8,Cracovia,30,2700,0,0.0,0,0.04,0.04,0.0,0,0,0
1160858,,Krasniqi,Ermal Krasniqi,MID,,Legia,25,1168,2,1.55,2,2.09,3.64,0.28,20,30,7
