ekstraklasa_id,player_id,web_name,player_name,pos,price,team_name
2346,1638822.0,Zewlakow,Jakub Żewłakow,MID,1.5,Legia
2348,,Klukowski,Antoni Klukowski,MID,1.2,Widzew Lodz
2351,,Karasinski,Szymon Karasiński,MID,0.7,Zaglebie Lubin
2353,357772.0,Maigaard,Mikkel Maigaard,MID,2.0,Wieczysta
2366,,Golonka,Konrad Golonka,GKP,0.7,Cracovia
2367,1562120.0,Monka,Wojciech Mońka,DEF,2.1,Lech Poznan
2376,,Trepka,Łukasz Trepka,DEF,0.7,GKS Katowice
2384,313014.0,Galan,Borja Galán,DEF,1.9,GKS Katowice
2386,865794.0,Hellebrand,Patrik Hellebrand,MID,2.1,Korona Kielce
2387,826668.0,Josema,José Manuel Josema,DEF,1.8,Gornik Zabrze
2389,,Fadiga,Lamine Diaby-Fadiga,MID,2.1,Rakow
2391,,Villar,Miki Villar,MID,1.7,Wieczysta
2406,,Chlan,Maksym Chłań,MID,2.5,Gornik Zabrze
2415,939772.0,Bartos,Marek Bartoš,DEF,1.7,Motor Lublin
2417,1172640.0,Luberecki,Filip Luberecki,DEF,1.7,Motor Lublin
2423,,N'Diaye,Mbaye N'Diaye,MID,2.4,Motor Lublin
2424,787905.0,Wolski,Bartosz Wolski,MID,2.4,GKS Katowice
2429,,Dudzinski,Marcel Mendes-Dudziński,GKP,1.3,Piast Gliwice
2430,231614.0,Nsame,Jean-Pierre Nsame,FWD,2.1,Pogon Szczecin
2431,846441.0,Vinagre,Rúben Vinagre,DEF,1.8,Legia
2434,,Perchel,Michał Perchel,GKP,1.6,Jagiellonia
2435,1005407.0,Ouattara,Zié Ouattara,DEF,1.8,Radomiak
2436,,Amorim,Adriano Amorim,MID,1.8,Rakow
2444,1514873.0,Krajewski,Marcel Krajewski,DEF,1.8,Widzew Lodz
2447,,Moutinho,João Moutinho,DEF,1.8,Lech Poznan
2448,,Douglas,Alex Douglas,DEF,1.8,Lech Poznan
2450,,Brkic,Ivan Brkić,GKP,1.8,Legia
2451,,Fiabema,Bryan Fiabema,FWD,1.8,Lech Poznan
2454,989355.0,Resta,Pau Resta,DEF,1.9,GKS Katowice
2456,1892375.0,Simon,Christopher Simon,MID,1.7,Motor Lublin
2458,1462671.0,Zwozny,Hubert Zwoźny,DEF,1.7,Korona Kielce
2461,985403.0,Ismaheel,Taofeek Ismaheel,MID,2.0,Gornik Zabrze
2462,915325.0,Ammari,Amir Al-Ammari,MID,1.8,Cracovia
2467,,Szczepaniak,Mateusz Szczepaniak,MID,0.7,Legia
2470,,Brzyski,Igor Brzyski,MID,1.3,Pogon Szczecin
