id,name,team,position,price,overall_status,description,expectedEndDate,return_gameweek,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,total_Pts
2306,Tobiasz Mras,Wieczysta Kraków,MID,0.7,NES,,,,2.5,2.4,2.4,2.4,2.4,2.4,2.8,2.5,19.8
1675,Filip Majchrowicz,Radomiak Radom,GKP,1.8,EXP,,,,3,1.7,3.1,1.4,3.3,2.9,1.6,2.7,19.7
1194,Aleksander Paluszek,GKS Katowice,DEF,1.6,NES,,,,1.8,3.6,3.3,2,3.3,1.8,1.8,2,19.6
1925,Gabriel Kobylak,GKS Katowice,GKP,1.7,NES,,,,1.8,3.6,3.3,2,3.3,1.8,1.8,2,19.6
1906,Maciej Kikolski,GKS Katowice,GKP,1.7,EXP,,,,1.8,3.6,3.3,2,3.3,1.8,1.8,2,19.6
2855,Wojciech Pańkowski,GKS Katowice,GKP,0.7,NES,,,,1.8,3.6,3.3,2,3.3,1.8,1.8,2,19.6
2376,Łukasz Trepka,GKS Katowice,DEF,0.7,NES,,,,1.8,3.6,3.3,2,3.3,1.8,1.8,2,19.6
2956,Kornel Toboła,Korona Kielce,FWD,0.7,NES,,,,2.2,2.6,2.5,2.3,2.6,2.4,2.6,2.4,19.6
2925,Maciek Kucharski,Piast Gliwice,FWD,0.7,NES,,,,2.4,2.6,2.2,2.6,2.5,2.4,2.5,2.4,19.6
2893,Adam Ciućka,Śląsk Wrocław,MID,0.7,NES,,,,2.3,2.6,2.6,2.4,2.6,2.2,2.3,2.6,19.6
2889,Przemyslaw Mazan,Śląsk Wrocław,MID,0.7,NES,,,,2.3,2.6,2.6,2.4,2.6,2.2,2.3,2.6,19.6
2792,Maciej Kuczyński,Jagiellonia Białystok,FWD,0.7,NES,,,,2.6,2.4,2.6,2.6,2.2,2.2,2.7,2.3,19.6
2762,Youssuf Sylla,Jagiellonia Białystok,FWD,1.8,NES,,,,2.6,2.4,2.6,2.6,2.2,2.2,2.7,2.3,19.6
2417,Filip Luberecki,Motor Lublin,DEF,1.7,EXP,,,,1.6,3.2,1.9,3.3,1.8,3.2,3.2,1.4,19.6
2789,Jakub Kokosiński,GKS Katowice,FWD,0.9,NES,,,,2.3,2.6,2.6,2.4,2.6,2.3,2.3,2.4,19.5
2312,Patryk Paryzek,Pogoń Szczecin,FWD,1.7,NES,,,,2.4,2.3,2.6,2.2,2.6,2.3,2.6,2.5,19.5
2637,Marcin Kamiński,Wisła Płock,DEF,1.9,EXP,,,,1.5,3.1,2,2.3,2,3.2,2.1,3.3,19.5
2640,Marcus Haglind-Sangré,Wisła Płock,DEF,1.8,EXP,,,,1.5,3.1,2,2.3,2,3.2,2.1,3.2,19.4
2786,Antoni Bałabuch,Górnik Zabrze,GKP,0.7,NES,,,,3.6,1.6,1.9,3.7,1.3,3.2,1.5,2.4,19.2
799,Paweł Bochniewicz,Górnik Zabrze,DEF,1.8,MAY,,,,3.6,1.6,1.9,3.7,1.3,3.2,1.5,2.4,19.2
2895,Philipp Schulze,Górnik Zabrze,GKP,1.7,EXP,,,,3.6,1.6,1.9,3.7,1.3,3.2,1.5,2.4,19.2
2734,Piotr Pietryga,Górnik Zabrze,GKP,0.7,NES,,,,3.6,1.6,1.9,3.7,1.3,3.2,1.5,2.4,19.2
2600,Radosław Szafrański,Górnik Zabrze,DEF,0.7,NES,,,,3.6,1.6,1.9,3.7,1.3,3.2,1.5,2.4,19.2
672,Tomasz Loska,Górnik Zabrze,GKP,1.6,MAY,,,,3.6,1.6,1.9,3.7,1.3,3.2,1.5,2.4,19.2
195,Bartosz Bereszyński,Motor Lublin,DEF,1.9,EXP,,,,1.6,3.1,1.9,3.2,1.7,3.2,3.1,1.3,19.1
