id,name,team,position,price,overall_status,description,expectedEndDate,return_gameweek,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,total_Pts
1471,Kamil Lukoszek,Górnik Zabrze,MID,1.7,MAY,,,,,,,,,,,,
1998,Olaf Kobacki,Wisła Płock,MID,1.8,NES,,,,,,,,,,,,
1725,Mehir Emreli,Raków Częstochowa,FWD,2.3,NES,,,,,,,,,,,,
2163,Marcel Pięczek,Korona Kielce,DEF,1.8,EXP,,,,,,,,,,,,
2918,Terry Yegbe,Lech Poznań,DEF,2.1,EXP,,,,,,,,,,,,
1853,Bogdan Racovițan,Raków Częstochowa,DEF,2,EXP,,,,,,,,,,,,
2668,Tamar Svetlin,Korona Kielce,MID,1.8,EXP,,,,,,,,,,,,
2784,Benjamin Mendy,Pogoń Szczecin,DEF,1.7,EXP,,,,,,,,,,,,
2728,Juande Rivas,Piast Gliwice,DEF,1.8,EXP,,,,,,,,,,,,
1192,Erik Janža,Górnik Zabrze,DEF,2.2,EXP,,,,,,,,,,,,
2755,Romário Baró,Radomiak Radom,MID,1.7,EXP,,,,,,,,,,,,
2794,Lukáš Sadílek,Górnik Zabrze,MID,2,EXP,,,,,,,,,,,,
2954,Vincent Burlet,Cracovia,DEF,1.8,NES,,,,,,,,,,,,
2727,Natan Ława,Pogoń Szczecin,MID,1.6,EXP,,,,,,,,,,,,
1126,Kamil Piątkowski,Legia Warszawa,DEF,2,EXP,,,,,,,,,,,,
1616,Adam Zreľák,GKS Katowice,FWD,1.8,EXP,,,,,,,,,,,,
2904,Christopher Lungoyi,Wieczysta Kraków,MID,2,NES,,,,,,,,,,,,
1757,Bartosz Mrozek,Lech Poznań,GKP,2.2,MAY,,,,,,,,,,,,
2699,Ivo Rodrigues,Motor Lublin,MID,1.8,EXP,,,,,,,,,,,,
1290,Karol Struski,Raków Częstochowa,MID,1.7,MAY,,,,,,,,,,,,
2767,Yannick Agnero,Lech Poznań,FWD,1.8,MAY,,,,,,,,,,,,
951,Arkadiusz Jędrych,GKS Katowice,DEF,2.3,EXP,,,,,,,,,,,,
1026,Mateusz Lis,Lech Poznań,GKP,1.8,EXP,,,,,,,,,,,,
1653,Adam Radwański,Wisła Płock,MID,1.8,MAY,,,,,,,,,,,,
1754,Michał Król,Wisła Płock,MID,1.8,MAY,,,,,,,,,,,,
2680,Mor N'Diaye,Pogoń Szczecin,MID,1.7,NES,,,,,,,,,,,,
2743,Elves Balde,Radomiak Radom,FWD,1.7,EXP,,,,,,,,,,,,
1285,Lucas Luquinhas,Radomiak Radom,MID,2,EXP,,,,,,,,,,,,
2066,David González Plata,Korona Kielce,MID,1.7,EXP,,,,,,,,,,,,
1136,Mateusz Praszelik,Cracovia,MID,1.7,EXP,,,,,,,,,,,,
2903,Petar Pusic,Wieczysta Kraków,MID,1.7,MAY,,,,,,,,,,,,
2073,Linus Wahlqvist,Pogoń Szczecin,DEF,1.8,EXP,,,,,,,,,,,,
1225,Jan Grzesik,Radomiak Radom,DEF,2,EXP,,,,,,,,,,,,
86,Taras Romanczuk,Jagiellonia Białystok,MID,1.9,EXP,,,,,,,,,,,,
1490,Kacper Trelowski,Raków Częstochowa,GKP,1.9,EXP,,,,,,,,,,,,
2785,Hussein Ali,Pogoń Szczecin,DEF,1.7,NES,,,,,,,,,,,,
2952,Ché Nunnely,Radomiak Radom,MID,1.8,NES,,,,,,,,,,,,
2462,Amir Al-Ammari,Cracovia,MID,1.8,EXP,,,,,,,,,,,,
2176,Mateusz Kowalczyk,GKS Katowice,MID,1.9,EXP,,,,,,,,,,,,
2685,Apóstolos Konstantópoulos,Jagiellonia Białystok,DEF,1.7,NES,,,,,,,,,,,,
