ekstraklasa_id,player_id,web_name,player_name,pos,price,team_name,appearances,minutes_played,goals,xg,assists,xa,xGI,xGI_per_90,key_passes,shots_total,shots_on_target
672,,Loska,Tomasz Loska,GKP,1.6,Gornik Zabrze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,,Nalepa,Michał Nalepa,DEF,1.7,Zaglebie Lubin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692,337301.0,Arsenic,Zoran Arsenić,DEF,1.8,Legia,1.0,10.0,1.0,0.36,0.0,0.01,0.37,3.33,0.0,1.0,1.0
698,260085.0,Czerwinski,Alan Czerwiński,DEF,1.8,GKS Katowice,1.0,29.0,0.0,0.0,0.0,0.09,0.09,0.28,1.0,0.0,0.0
701,281307.0,Kun,Patryk Kun,DEF,1.7,Wisla Plock,1.0,90.0,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0
705,,Rasak,Damian Rasak,MID,1.7,GKS Katowice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,,Angielski,Karol Angielski,FWD,1.8,Pogon Szczecin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724,,Alomerovic,Zlatan Alomerović,GKP,1.8,Zaglebie Lubin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765,175177.0,Imaz,Jesús Imaz,MID,3.5,Jagiellonia,1.0,86.0,0.0,0.02,0.0,0.11,0.13,0.14,1.0,1.0,0.0
774,913575.0,Bergier,Sebastian Bergier,FWD,2.4,Widzew Lodz,1.0,90.0,1.0,1.1,0.0,0.12,1.22,1.22,2.0,3.0,2.0
790,,Plach,František Plach,GKP,1.7,Piast Gliwice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
791,794277.0,Blanik,Dawid Błanik,MID,2.2,Korona Kielce,1.0,84.0,0.0,0.18,0.0,0.19,0.37,0.4,2.0,4.0,0.0
799,,Bochniewicz,Paweł Bochniewicz,DEF,1.8,Gornik Zabrze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
813,851245.0,Zyro,Mateusz Żyro,DEF,1.7,Widzew Lodz,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827,,Grzybek,Mateusz Grzybek,DEF,1.9,Zaglebie Lubin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
860,926184.0,Dlugosz,Wiktor Długosz,MID,1.8,Korona Kielce,1.0,90.0,0.0,0.13,0.0,0.01,0.14,0.14,0.0,3.0,1.0
923,338475.0,Augustyniak,Rafał Augustyniak,DEF,1.8,Legia,1.0,90.0,0.0,0.13,0.0,0.04,0.17,0.17,0.0,3.0,0.0
950,,Cichocki,Mateusz Cichocki,DEF,1.7,Radomiak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
951,198796.0,Jedrych,Arkadiusz Jędrych,DEF,2.3,GKS Katowice,1.0,90.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0
964,,Milewski,Sebastian Milewski,MID,1.8,GKS Katowice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
979,940867.0,Repka,Oskar Repka,MID,2.0,Rakow,1.0,90.0,0.0,0.04,0.0,0.04,0.08,0.08,0.0,2.0,0.0
992,931266.0,Wisniewski,Przemysław Wiśniewski,DEF,2.0,Widzew Lodz,1.0,90.0,0.0,0.02,0.0,0.04,0.06,0.06,0.0,1.0,0.0
994,789971.0,Klemenz,Lukas Klemenz,DEF,2.0,GKS Katowice,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1005,871041.0,Fila,Karol Fila,DEF,1.7,Wieczysta,1.0,90.0,0.0,0.29,0.0,0.09,0.38,0.38,1.0,1.0,0.0
1010,,Garcia,Jorge Félix Garcia,MID,1.9,Piast Gliwice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1012,,Sokolowski,Patryk Sokołowski,MID,1.7,Slask Wroclaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015,,Malec,Mariusz Malec,DEF,1.7,Slask Wroclaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1020,,Labojko,Jakub Łabojko,MID,1.7,Piast Gliwice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1026,798375.0,Lis,Mateusz Lis,GKP,1.8,Lech Poznan,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1029,,Zynel,Bartłomiej Żynel,GKP,1.4,Jagiellonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1039,,Biedrzycki,Wiktor Biedrzycki,DEF,1.7,Wisla Krakow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1092,941964.0,Talar,Piotr Samiec-Talar,MID,2.0,Slask Wroclaw,1.0,90.0,0.0,0.11,1.0,0.55,0.66,0.66,2.0,2.0,1.0
